ROI_NAME,ROI_NUM,PROMEDIO,STD
Frontal_Pole,1,1.2974279293882522,0.04649982371958597
Insular_Cortex,2,1.318356852650284,0.04165437458065141
Superior_Frontal_Gyrus,3,1.321448234769719,0.06470813279335692
Middle_Frontal_Gyrus,4,1.407353816529661,0.05163174116523355
Inferior_Frontal_Gyrus_pars_triangularis,5,1.356673595162128,0.04537656068324092
Inferior_Frontal_Gyrus_pars_opercularis,6,1.4155007902544872,0.05196191506701257
Precentral_Gyrus,7,1.348035109076918,0.04493064618568931
Temporal_Pole,8,0.9655578005073853,0.05451294377454819
Superior_Temporal_Gyrus_anterior_division,9,1.1614592359553855,0.04586985075801447
Superior_Temporal_Gyrus_posterior_division,10,1.2805188013621052,0.04294404920930397
Middle_Temporal_Gyrus_anterior_division,11,1.1213377340274595,0.04335593883903088
Middle_Temporal_Gyrus_posterior_division,12,1.29425314537583,0.03795317674125593
Middle_Temporal_Gyrus_temporooccipital_part,13,1.3458041549337305,0.04297374953923103
Inferior_Temporal_Gyrus_anterior_division,14,1.1739514758458773,0.056445540387438306
Inferior_Temporal_Gyrus_posterior_division,15,1.2503275337211983,0.047635040770057015
Inferior_Temporal_Gyrus_temporooccipital_part,16,1.2905309001039293,0.04986700033625554
Postcentral_Gyrus,17,1.309760549343119,0.05370658962629157
Superior_Parietal_Lobule,18,1.3178368417055162,0.07011135484904897
Supramarginal_Gyrus_anterior_division,19,1.199535665188349,0.042948219801713025
Supramarginal_Gyrus_posterior_division,20,1.3041086150964332,0.046854803898576686
Angular_Gyrus,21,1.3679406849806353,0.05376726291620246
Lateral_Occipital_Cortex_superior_division,22,1.4052347896620854,0.05983703927645271
Lateral_Occipital_Cortex_inferior_division,23,1.3986142842980795,0.05798347019939612
Intracalcarine_Cortex,24,1.6939277632962189,0.08964412474171506
Frontal_Medial_Cortex,25,1.4534100043748734,0.05986433980123923
Juxtapositional_Lobule_Cortex,26,1.4084081190897628,0.09334821379023388
Subcallosal_Cortex,27,1.1447382089738953,0.05743416520475125
Paracingulate_Gyrus,28,1.4024123428482054,0.07611894895207721
Cingulate_Gyrus_anterior_division,29,1.1869309484645894,0.07267381122633632
Cingulate_Gyrus_posterior_division,30,1.3888301055319656,0.061791785775130614
Precuneous_Cortex,31,1.5434796084011138,0.06489749345571784
Cuneal_Cortex,32,1.683355235869181,0.08415035038810526
Frontal_Orbital_Cortex,33,1.3310098674522168,0.04144234784357263
Parahippocampal_Gyrus_anterior_division,34,0.9729685096520345,0.055228682447242786
Parahippocampal_Gyrus_posterior_division,35,1.0843330048024655,0.053680559398095046
Lingual_Gyrus,36,1.3491790210663532,0.06159267520879834
Temporal_Fusiform_Cortex_anterior_division,37,1.0223543613602357,0.060042675015823645
Temporal_Fusiform_Cortex_posterior_division,38,1.1678046609211352,0.050256998662968004
Temporal_Occipital_Fusiform_Cortex,39,1.3406612788126624,0.04853475178900818
Occipital_Fusiform_Gyrus,40,1.5038352372793966,0.07312637306157761
Frontal_Operculum_Cortex,41,1.4046590382480526,0.05801012251300627
Central_Opercular_Cortex,42,1.3325610379054298,0.039225220270218075
Parietal_Operculum_Cortex,43,1.3214114204909613,0.04912286030037764
Planum_Polare,44,1.2135336074386436,0.062356880542604826
Heschl's_Gyrus,45,1.5122263897973667,0.09245649638888867
Planum_Temporale,46,1.4803827822123738,0.07780512170419476
Supracalcarine_Cortex,47,1.6748946380208842,0.09221003358689786
Occipital_Pole,48,1.4514017286379806,0.08775909549731209
Thalamus,49,1.1204361198242323,0.09362458165394336
Striatum,50,1.1973360168244305,0.07342402545154718
Brainstem,51,0.9099651568407765,0.051019021359542914
Hippocampus,52,1.0258108569709188,0.054531027128977054
Amygdala,53,1.0169193751261694,0.0556929489734777
